admin0_name,description,link_text,link_url
Central African Republic,"A 6-year project aiming to increase climate-resilient agriculture, capacity building, policy engagement, knowledge management, climate-resilient rural transportation and water infrastructures. ",Increasing the Adaptation Capacity and Resilience of Rural Communities to Climate Change in the Central African Republic ,https://www.adaptation-fund.org/project/increasing-the-adaptation-capacity-and-resilience-of-rural-communities-to-climate-change-in-the-central-african-republic-2/
Central African Republic,"National priorities and plan for achieving medium- and long-term adaptation targets in key sectors, including agriculture.",National Adaptation Plan of Central African Republic 2022,https://unfccc.int/documents/460795
Central African Republic,"A project with the objective of ensuring ecosystem protection, services and food security through enhanced agro-sylvo-pastoralism and sustainable natural resources management",Lake Chad Basin Regional Programme for the Conservation and Sustainable Use of Natural Resources and Energy Efficiency CAR (the Central African Republic) Child Project: Enhancing Agro-ecological Systems in Northern Prefectures of CAR,https://www.thegef.org/projects-operations/projects/9532
Chad,Innovative national project with the objective of increasing productivity and strengthening climate resiliency of agricultural production systems by promoting the adoption of improved technologies and climate-smart agriculture. ,Project to Strengthen Climate Resilience and Sustainable Productivity (ProPAD),https://documents1.worldbank.org/curated/es/116601590670550783/pdf/Disclosable-Restructuring-Paper-Climate-Resilient-Agriculture-and-Productivity-Enhancement-Project-P162956.pdf
Chad,A strategic document presenting national adaptation priorities alongside sustainable development needs.,National Climate Change Adaptation Plan of Chad,https://unfccc.int/sites/default/files/resource/CHAD-NAP_EN-web.pdf
Chad,A project aiming to strengthen resiliency of vulnerable communities by building adaptive capacity to recurrent drought risks and promoting the sustainable management of oases and associated ecosystems.,"Reversing the degradation trend in the oases of Borkou, Ennedi West and Wadi Fira through strengthening adaptation measures and improving resilience to climate change of vulnerable communities ",https://www.adaptation-fund.org/wp-content/uploads/2023/03/AFB.PPRC_.31.26-Proposal-for-CHAD.pdf
Congo - Brazzaville,"A project targeting individuals dependent on agricultural livelihoods with the aim of reducing vulnerability to the impacts of climate change and strengthening adaptive capacities of vulnerable communities and the ecosystems they depend on, by promoting food security, nutrition and use a gender sensitive approach.",Building adaptive capacity to climate change in vulnerable communities living in the Congo River Basin,https://www.adaptation-fund.org/project/building-adaptive-capacity-to-climate-change-in-vulnerable-communities-living-in-the-congo-river-basin/
Congo - Brazzaville,"A summit in August 2023 of convening 230 actors from across the Congo Basin representing governments, civil society organisations, indigenous and local populations, women’s organisations, young people, the media, religious institutions, cultural institutions, research institutions, pastoralists, fishermen, small-scale farmers and entrepreneurs. The summit was organized in recognition of the potential of agroecology as a fundamental solution for establishing resilient food system, the undeniable role of indigenous peoples and local communities in the conservation and preservation. The gathering identified main challenges, urgent needs, priorities and calls to action. ",Kinshasa Declaration on reconciling food production with biodiversity conservation and climate emergency in the Congo Basin,"https://www.fao.org/family-farming/detail/en/c/1650181/#:~:text=Gathering%20230%20participants%20from%20six,a%20cornerstone%20of%20climate%20resilience."
Congo - Kinshasa,"A review paper providing comprehensive evidence of CSA-associated farming practices in DRC, public and private efforts to promote CSA practices, and the associated benefits accruing from the practices as deployed by farmers in the DRC.",Current Practices and Prospects of Climate-Smart Agriculture in Democratic Republic of Congo: A Review,https://www.mdpi.com/2073-445X/11/10/1850
Congo - Kinshasa,"A summit in August 2023 of convening 230 actors from across the Congo Basin representing governments, civil society organisations, indigenous and local populations, women’s organisations, young people, the media, religious institutions, cultural institutions, research institutions, pastoralists, fishermen, small-scale farmers and entrepreneurs. The summit was organized in recognition of the potential of agroecology as a fundamental solution for establishing resilient food system, the undeniable role of indigenous peoples and local communities in the conservation and preservation. The gathering identified main challenges, urgent needs, priorities and calls to action. ",Kinshasa Declaration on reconciling food production with biodiversity conservation and climate emergency in the Congo Basin,"https://www.fao.org/family-farming/detail/en/c/1650181/#:~:text=Gathering%20230%20participants%20from%20six,a%20cornerstone%20of%20climate%20resilience."
Congo - Kinshasa,"National plan establishing adaptation priorities programmes in key sectors, including integrated agriculture, fishing, livestock farming and rural development. The Plan's aim is to increase resiliency of priority thematic sectors with guidelines to the management of climate risks.",National Adaptation Plan of the Democratic Republic of the Congo 2022-2026,https://unfccc.int/sites/default/files/resource/DRC-NAP_EN.pdf
Côte d’Ivoire,National project with the main objective of strengthening the resilience of smallholder farmers to the effects of climate change through the adoption of proven innovative technologies and practices. ,Strengthen the Resilience of Smallholder Farmers to the Effects of Climate Change through the Adoption of Proven Innovative Technologies and Practices,https://www.adaptation-fund.org/project/strengthen-the-resilience-of-smallholder-farmers-to-the-effects-of-climate-change-through-the-adoption-of-proven-innovative-technologies-and-practices-2/
Côte d’Ivoire,A regional project enhancing adaptive capacity through early warning systems for coastal communities in Cote d'Ivoire and Ghana.,Improved Resilience of Coastal Communities in Côte d’Ivoire and Ghana,https://www.adaptation-fund.org/project/improved-resilience-of-coastal-communities-in-cote-divoire-and-ghana-2/
Côte d’Ivoire,A regional project proposing the Climate-Resilient Rice Production (CRRP) approach which addresses several challenges simultaneously while promoting adaptation to climate threats.,Scaling-up climate-resilient rice production in West Africa,https://www.adaptation-fund.org/project/scaling-up-climate-resilient-rice-production-in-west-africa-benin-burkina-faso-co%cc%82te-divoire-the-gambia-ghana-guinea-liberia-mali-niger-nigeria-senegal-sierra-leone-and-togo/
Djibouti,A project with the aim of improving the climate resilience of vulnerable ecosystems and increasing the adaptive capacity of rural poor to respond to the impacts of climate change in Djibouti.,Integrated Water and Soil Resources Management Project,https://www.adaptation-fund.org/project/integrated-water-and-soil-resources-management-project-projet-de-gestion-integree-des-ressources-en-eau-et-des-sols-progires-2/
Djibouti,"A Ministry of Environment and United Nations Development Programme (UNDP)-led initiative to develop community resilience to projected worsening of drought conditions by developing and maintaining date palm shade gardens, serving as the foundation for a diversified, climate-resilient agricultural and pastoral economy.",Developing Agro-Pastoral Shade Gardens as an Adaptation Strategy for Poor Rural Communities,https://www.adaptation-fund.org/project/developing-agro-pastoral-shade-gardens-as-an-adaptation-strategy-for-poor-rural-communities-in-djibouti/
Djibouti,"A project with the aim of increasing the resilience of smallholder farmers and pastoralists to climate change risks mainly those related to drought, through the establishment of appropriate early warning systems and implementation of drought adaptation actions in the IGAD region.",Strengthening Drought Resilience for Small Holder Farmers and Pastoralists in the IGAD Region ,https://www.adaptation-fund.org/project/djibouti-kenya-sudan-and-uganda-strengthening-drought-resilience-for-small-holder-farmers-and-pastoralists-in-the-igad-region/
Equatorial Guinea,"A summit in August 2023 of convening 230 actors from across the Congo Basin representing governments, civil society organisations, indigenous and local populations, women’s organisations, young people, the media, religious institutions, cultural institutions, research institutions, pastoralists, fishermen, small-scale farmers and entrepreneurs. The summit was organized in recognition of the potential of agroecology as a fundamental solution for establishing resilient food system, the undeniable role of indigenous peoples and local communities in the conservation and preservation. The gathering identified main challenges, urgent needs, priorities and calls to action. ",Kinshasa Declaration on reconciling food production with biodiversity conservation and climate emergency in the Congo Basin,"https://www.fao.org/family-farming/detail/en/c/1650181/#:~:text=Gathering%20230%20participants%20from%20six,a%20cornerstone%20of%20climate%20resilience."
Equatorial Guinea,"A joint Ministry of Agriculture, Livestock, Forests and Environment-FAO project to conserve and enhance forest carbon stocks and promote sustainable livelihoods through community-based sustainable forest and land management.",Promoting Community-Based Forestry for Climate Change Mitigation and Sustainable Livelihoods in Equatorial Guinea,https://www.thegef.org/projects-operations/projects/10034
Equatorial Guinea,"In line with national priorities, this project will strengthen institutional and technical capacities in the Agriculture, Forestry and other Land Use (AFOLU) sector to respond to the enhanced transparency requirements of the Paris Agreement","Enhancing Equatorial Guinea’s institutional and technical capacity in the agriculture, forestry and other land-use sector for enhanced transparency under the Paris Agreement",https://www.thegef.org/projects-operations/projects/10120
Eritrea,A programme with the overall goal of promoting increased food security in Eritrea through ecologically sustainable and climate-resilient improvements in agricultural production. The programme's main objective is to increase community resilience and adaptive capacity to climate change through an integrated water management and agricultural development approach  ,"Climate Change Adaptation Programme In Water and Agriculture In Anseba Region, Eritrea",https://www.adaptation-fund.org/project/climate-change-adaptation-programme-in-water-and-agriculture-in-anseba-region-eritrea/
Eritrea,"A project with the objective of promoting inclusive, sustainable and climate-relevant transformation of the Eritrean dairy value chain to enhance food and nutrition security, reduce poverty, create job opportunities for young people, and promote resilience to climate change while mitigating greenhouse gas emissions.",Climate Smart Agriculture Research and Innovation Support for Dairy Value Chains in Eritrea,https://www.csaride.org/
Eritrea,"This project aims to promote greater food security through ecologically sustainable and climate-resilient improvements in agricultural production. The objective of the programme is to increase community resilience and adaptive capacity to climate change through an integrated water management and agricultural development approach in the sub-regions of Hamelmalo and Habero. Stakeholders include community, civil society and government representatives.","Water and Agriculture Adaptation in Anseba Region, Eritrea",https://www.adaptation-undp.org/projects/af-water-and-agriculture-adaptation-anseba-region-eritrea
Eswatini,"This programme is located across Eswatini, Namibia, Lesotho and South Africa. It is the first private sector climate finance facility in Africa using a pioneering green bank model. It will de-risk and increase the bankability of climate projects in order to crowd in private sector investment. Its successful implementation will replicate similar financial models in other countries.",Development Bank of Southern Africa (DBSA) Climte Finance Facility,https://www.greenclimate.fund/project/fp098#stories
Eswatini,"In collaboration with the Food, Agriculture and Natural Resources Policy Analysis Network (FANRPAN), this programme aims to strengthen agricultural practices which sustainably increase productivity and lead to a climate resilient system while simultaneously removing greenhouse gases.   ",Climate Smart Agriculture pilot program,https://www.gov.sz/images/tourism/2016-CLIMATE-CHANGE-POLICY--BOOKLET-FINAL.pdf
Eswatini,"An EU-funded project working to improve smallholder production and marketing systems that lead to sustainable food security and improvement for rural households. Climate-change related activities include conservation agriculture, strengthening agricultural extension systems and crop diversification/market linkages.  ",Swaziland Agricultural Development Programme (SADP) ,https://www.fao.org/fileadmin/user_upload/oed/docs/1_Swaziland%20Agricultural%20Development%20Programme_2011_ER.pdf
Ethiopia,A range of multi-sectoral national engagements and collaborations that support the development of national Climate-Smart Agriculture plans and their scaling-up,Africa Climate-Smart Agriculture (CSA) Alliance in Ethiopia,https://ccafs.cgiar.org/news/africa-csa-alliance-path-implementation
Ethiopia,"A project with the overall objective of increasing resilience to recurrent droughts in seven agro-ecological landscapes in Ethiopia through an integrated water, agriculture and natural resource management approach.",Climate Smart Integrated Rural Development Project,https://www.adaptation-fund.org/project/climate-smart-integrated-rural-development-project/
Ethiopia,"An initiative with the goal of developing and implementing adaptation strategies and measures that will strengthen the resilience of vulnerable smallholder farmers, agro-pastoralists and pastoralists in the Horn of Africa to climate variability and change. ",Agricultural Climate Resilience Enhancement Initiative (ACREI),https://www.adaptation-fund.org/project/agricultural-climate-resilience-enhancement-initiative-acrei-ethiopia-kenya-uganda/
Gabon,"A summit in August 2023 of convening 230 actors from across the Congo Basin representing governments, civil society organisations, indigenous and local populations, women’s organisations, young people, the media, religious institutions, cultural institutions, research institutions, pastoralists, fishermen, small-scale farmers and entrepreneurs. The summit was organized in recognition of the potential of agroecology as a fundamental solution for establishing resilient food system, the undeniable role of indigenous peoples and local communities in the conservation and preservation. The gathering identified main challenges, urgent needs, priorities and calls to action. ",Kinshasa Declaration on reconciling food production with biodiversity conservation and climate emergency in the Congo Basin,"https://www.fao.org/family-farming/detail/en/c/1650181/#:~:text=Gathering%20230%20participants%20from%20six,a%20cornerstone%20of%20climate%20resilience."
Gabon,"This project aims to decrease the pressure to clear forests for agricultural purposes. The fund will work to reduce emissions and increase the resilience of local communities by financing the transformation of tropical agricultural commodity supply chains from extractive to sustainable practices. The project will achieve this by providing technical assistance and financial support to producers with conditions that necessitate the protection and restoration of existing forests by focusing on supply chains in sectors that drive deforestation such as livestock, palm oil, soy, rubber, cocoa, and forestry. ",&Green Fund: Investing in Inclusive Agriculture and Protecting Forests,https://www.greenclimate.fund/project/fp212
Gambia,A regional project proposing the Climate-Resilient Rice Production (CRRP) approach which addresses several challenges simultaneously while promoting adaptation to climate threats.,Scaling-up climate-resilient rice production in West Africa,https://www.adaptation-fund.org/project/scaling-up-climate-resilient-rice-production-in-west-africa-benin-burkina-faso-co%cc%82te-divoire-the-gambia-ghana-guinea-liberia-mali-niger-nigeria-senegal-sierra-leone-and-togo/
Gambia,A project with the overall goal of enhancing adaptive capacity of rural populations in The Gambia through support to climate-resilient and diversified livelihoods.,Rural Integrated Climate Adaptation and Resilience Building Project (RICAR),https://www.adaptation-fund.org/project/rural-integrated-climate-adaptation-and-resilience-building-project-ricar-2/
Gambia,"The overarching objective is to build climate resilience by restoring and rehabilitating at least 10,000 hectares of forests, protected areas, wildlife areas and farmland, all of which are affected by rising temperatures, erratic rainfall and deforestation.","Large-scale ecosystem-based adaptation in the Gambia: Developing a climate-resilient, natural resource-based economy","https://www.unep.org/topics/climate-action/adaptation/ecosystem-based-adaptation/ecosystem-based-adaptation-gambia-0#:~:text=The%20overarching%20objective%20is%20to,temperatures%2C%20erratic%20rainfall%20and%20deforestation."
Ghana,"One of several CCAFS-led projects to promote food security under a changing climate. This project concerns the establishment of a climate-smart village in Lawra, in the Lawra Jirapa region, where farmers work with researchers and other local partners to test a portfolio of climate-smart technologies and practices. Projects are implemented in an integrated manner in order to realize the triple benefits of climate-smart agriculture: productivity, adaptation and mitigation.",Developing Climate-Smart Village Models in Ghana,https://ccafs.cgiar.org/regions/west-africa/ghana
Ghana,"A national science-policy dialogue platform where a network of national stakeholders, including scientists and policy makers, regularly exchanging knowledge on adaptation to climate change.",National Climate-Smart Agriculture and Food Security Action Plan of Ghana (2016-2020),https://cgspace.cgiar.org/items/c6fb88e1-095a-495b-b89b-358afe81bfdb
Ghana,A regional project enhancing adaptive capacity through early warning systems for coastal communities in Cote d'Ivoire and Ghana.,Improved Resilience of Coastal Communities in Côte d’Ivoire and Ghana,https://www.adaptation-fund.org/project/improved-resilience-of-coastal-communities-in-cote-divoire-and-ghana-2/
Ghana,"Ghana is a member of the Climate-Smart Agriculture Alliance launched in June 2015, in Mali, in partnership with ECOWAS and CCAFS. This alliance aims to enhance adaptation and resilience to climate variability and change, while increasing farm productivity and incomes sustainably and equitably, and controlling and reducing greenhouse gas emissions wherever possible and appropriate, at a regional level. ",West African Alliance for Climate-Smart Agriculture,https://ccafs.cgiar.org/regions/west-africa/ghana
Guinea,A regional project proposing the Climate-Resilient Rice Production (CRRP) approach which addresses several challenges simultaneously while promoting adaptation to climate threats.,Scaling-up climate-resilient rice production in West Africa,https://www.adaptation-fund.org/project/scaling-up-climate-resilient-rice-production-in-west-africa-benin-burkina-faso-co%cc%82te-divoire-the-gambia-ghana-guinea-liberia-mali-niger-nigeria-senegal-sierra-leone-and-togo/
Guinea,"A Guinean government led project, with support from the United Nations Development Programme (UNDP), to increase the climate resilience and adaptive capacity of the most vulnerable communities through the introduction of climate-smart agricultural practices, enhanced access to microcredit, and improved utilisation of climate information.",Strengthening the climate resilience of communities in forested regions,https://www.undp.org/africa/press-releases/guinea-launches-project-aimed-strengthening-climate-resilience-communities-its-forested-region
Guinea,"This programme improves the resilience of populations and ecosystems in the Niger Basin by managing natural resources sustainably, reducing silting and enhancing the population's ability to adapt to climate change. It also includes some mitigation activities, including through forestry and land use.",Programme for integrated development and adaptation to climate change in the Niger Basin,https://www.greenclimate.fund/project/fp092
Guinea-Bissau,Regional programme to build climate-resilient agricultural systems in small West and Central Africa nations by securing water resources for agricultural and domestic usages and  rehabilitating degraded lands to increase the climate resilience of agrarian ecosystems and enhance agricultural productivity. ,West and Central Africa Small Island Developing States ADAPT – Building resilience of agricultural systems to climate change,https://www.adaptation-fund.org/project/west-and-central-africa-small-island-developing-states-adapt-building-resilience-of-agricultural-systems-to-climate-change-cabo-verde-guinea-bissau-sao-tome-and-principe/
Guinea-Bissau,"A project to address key vulnerabilities in agriculture and water resources management, and thus contribute to immediate and longer-term development and resilience needs of extremely vulnerable farmers, with a particular focus on extremely vulnerable groups: women, elderly and children.",Scaling up climate-smart agriculture in East Guinea Bissau,https://www.adaptation-fund.org/project/scaling-climate-smart-agriculture-east-guinea-bissau/
Guinea-Bissau,"This project aims to enhance the climate resilience of livelihoods and food security of the most vulnerable people in Northwest and Northcentral coastal regions of Guinea-Bissau by improving local observation and monitoring systems for water and soil quality, rehabilitating small-scale water management schemes such as rainwater retention systems and irrigations, undertaking functional reforestation of mangroves on 250 hectares of mangrove swamp areas, and strengthening agricultural value chains with microenterprises.",Adaptation of agricultural production systems in Coastal Areas of Northwest Guinea-Bissau,https://www.greenclimate.fund/project/sap025
Kenya,"An initiative with the goal of developing and implementing adaptation strategies and measures that will strengthen the resilience of vulnerable smallholder farmers, agro-pastoralists and pastoralists in the Horn of Africa to climate variability and change. ",Agricultural Climate Resilience Enhancement Initiative (ACREI),https://www.adaptation-fund.org/project/agricultural-climate-resilience-enhancement-initiative-acrei-ethiopia-kenya-uganda/
Kenya,"A project with the aim of increasing the resilience of smallholder farmers and pastoralists to climate change risks mainly those related to drought, through the establishment of appropriate early warning systems and implementation of drought adaptation actions in the IGAD region.",Strengthening Drought Resilience for Small Holder Farmers and Pastoralists in the IGAD Region ,https://www.adaptation-fund.org/project/djibouti-kenya-sudan-and-uganda-strengthening-drought-resilience-for-small-holder-farmers-and-pastoralists-in-the-igad-region/
Kenya,A range of multi-sectoral national engagements and collaborations that support the development of national Climate-Smart Agriculture plans and their scaling-up,Africa Climate-Smart Agriculture (CSA) Alliance in Kenya,https://ccafs.cgiar.org/news/africa-csa-alliance-path-implementation
Lesotho,A project with the main goal of enhancing the adaptive capacity and build the resilience of vulnerable and food insecure households and communities to the impacts of climate change on food security.,Improving adaptive capacity of vulnerable and food-insecure populations in Lesotho,https://www.adaptation-fund.org/project/improving-adaptive-capacity-vulnerable-food-insecure-populations-lesotho-2/
Lesotho,"This programme is located across Eswatini, Namibia, Lesotho and South Africa. It is the first private sector climate finance facility in Africa using a pioneering green bank model. It will de-risk and increase the bankability of climate projects in order to crowd in private sector investment. Its successful implementation will replicate similar financial models in other countries.",Development Bank of Southern Africa (DBSA) Climate Finance Facility,https://www.greenclimate.fund/project/fp098#stories
Lesotho,"A multisectoral national policy, guiding key sectors like water, agriculture, energy, and transport in adaptation and mitigation efforts to foster a climate-resilient, low-carbon national development.",The Lesotho National Climate Change Policy (2017 - 2027),https://faolex.fao.org/docs/pdf/les203460.pdf
Liberia,A project with the objective of reducing the effects of climate change on agricultural activities and farmers in the cocoa and rice cultivation sectors.,Building Climate Resilience in Liberia’s Cocoa and Rice Sectors,https://www.adaptation-fund.org/project/building-climate-resilience-in-liberias-cocoa-and-rice-sectors-2/
Liberia,"This project aims to increase the resilience of Liberia’s population and infrastructure to climate change through (i) improved hydrometeorological service generation and provision, in line with WMO requirements for establishing a functioning National Meteorological and Hydrological Service, (ii) improved risk knowledge and awareness of both Government institutions and communities, and (iii) mechanisms to better prepare and respond to climate hazards through an enabling environment, appropriate legislation, agency coordination as well as implementing an effective impact-based forecasting and forecast-based financing mechanism.",Enhancing Climate Information Systems for Resilient Development in Liberia,https://www.greenclimate.fund/project/sap018
Liberia,A regional project proposing the Climate-Resilient Rice Production (CRRP) approach which addresses several challenges simultaneously while promoting adaptation to climate threats.,Scaling-up climate-resilient rice production in West Africa,https://www.adaptation-fund.org/project/scaling-up-climate-resilient-rice-production-in-west-africa-benin-burkina-faso-co%cc%82te-divoire-the-gambia-ghana-guinea-liberia-mali-niger-nigeria-senegal-sierra-leone-and-togo/
Madagascar,A United Nations Environment Programme (UNEP)-led project aiming to help those in the rice sector increase climate resiliency through increased rice production that will withstand projected climate conditions and increased environmental sustainability and ecological services.,Promoting climate resilience in the rice sector through pilot investments in Alaotra-Mangoro region,https://www.adaptation-fund.org/project/madagascar-promoting-climate-resilience-in-the-rice-sector/
Madagascar,This programme targets the most vulnerable populations of coastal and rural areas in four Indian Ocean SIDS where livelihoods are highly dependent on the region's rich ecosystems and natural resources - whether dominated by agriculture and fishing (as in Comoros and Madagascar) or tourism and the services sector (as in Mauritius and Seychelles). It will develop and implement ecosystem-based adaptation (EbA) activities. It will increase the resilience of both people and ecosystems in these four countries by enabling civil society organisations to support the conservation of critical ecosystems within biodiversity hotspots. ,Ecosystem-based Adaptation in the Indian Ocean,https://www.greenclimate.fund/project/fp135
Madagascar,A range of multi-sectoral national engagements and collaborations that support the development of national Climate-Smart Agriculture plans and their scaling-up,Africa Climate-Smart Agriculture (CSA) Alliance ,https://ccafs.cgiar.org/news/africa-csa-alliance-path-implementation
Malawi,"A project with the overall objective of building capacity to adapt to climate change through farmers associations, cooperatives, enhanced market access, and other sustainable and viable mechanisms for vulnerable and food insecure households to access different strategies and tools under an integrated climate risk management approach and access to market-based opportunities.",Adapting to Climate Change Through Integrated Risk Management Strategies and Enhanced Market Opportunities for Resilient Food Security and Livelihoods,https://www.adaptation-fund.org/project/adapting-to-climate-change-through-integrated-risk-management-strategies-and-enhanced-market-opportunities-for-resilient-food-security-and-livelihoods/
Malawi,"The project will expand the meteorological network, instal automatic weather stations, hydrological monitoring stations, and lake-based weather buoys, as well as increase the capacity to identify risks and forecast impacts. Resulting information will be better disseminated through mobile, ICT, and radio channels targeting vulnerable farming communities, as well as fishing communities around Lake Malawi. Flood modelling for river systems will be improved, increasing warning times from 6 hours and under to 24- 48 hours. The private sector, including telecoms and micro and small enterprises will be engaged.",Scaling up the use of Modernized Climate information and Early Warning Systems in Malawi,https://www.greenclimate.fund/project/fp002
Malawi,A range of multi-sectoral national engagements and collaborations that support the development of national Climate-Smart Agriculture plans and their scaling-up,Africa Climate-Smart Agriculture (CSA) Alliance,https://ccafs.cgiar.org/news/africa-csa-alliance-path-implementation
Mali,"A network of national stakeholders, including scientists and policy makers, regularly exchanging knowledge on adaptation to climate change.","National Platform of Science-Policy Dialogue on Climate Change, Agriculture and Food Security (CASA C-Platform) ",https://cgspace.cgiar.org/items/f8117781-a8b0-44e3-a700-954d30a60e92
Mali,"One of several CCAFS-led projects to promote food security under a changing climate. This project concerns the establishment of a climate-smart village in Cinzana in the Ségou region, where farmers work with researchers and other local partners to test a portfolio of climate-smart technologies and practices. Projects are implemented in an integrated manner in order to realize the triple benefits of climate-smart agriculture: productivity, adaptation and mitigation.",Developing Climate-Smart Village Models in Mali,https://ccafs.cgiar.org/regions/west-africa/mali
Mali,"Mali is a member of the Climate-Smart Agriculture Alliance launched in June 2015, in partnership with ECOWAS and CCAFS. This alliance aims to enhance adaptation and resilience to climate variability and change, while increasing farm productivity and incomes sustainably and equitably, and controlling and reducing greenhouse gas emissions wherever possible and appropriate, at a regional level. ",West African Alliance for Climate-Smart Agriculture,https://ccafs.cgiar.org/regions/west-africa/mali
Mauritania,"A project to improve food security adaptation by assisting the government in improving technical services at the community level to increase village residents' resilience, informed decision-making ability, and adaption plans for livestock, land and water management and the overall use of natural resources.",Enhancing Resilience of Communities to the Adverse Effects of Climate Change on Food Security in Mauritania,https://www.adaptation-fund.org/project/enhancing-resilience-of-communities-to-the-adverse-effects-of-climate-change-on-food-security-in-mauritania/
