country,option,description,constraint,quantile,relative_importance,opportunity potential
ARG,Rangeland restoration,"Rehabilitate and improve the ecological health and productivity of natural rangeland ecosystems. Strategies for rangeland restoration include vegetation management, grazing management, water management, soil conservation, invasive species control, wildlife habitat restoration, and community engagement. Bottlenecks for scaling rangeland restoration include cost and knowledge.",Cost,4,0.5,Low
ARG,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Knowledge,4,0.2,Low
ARG,Improve forages & feeding,"Implementation of advanced practices to enhance the quality and efficiency of the forages provided to animals and optimize their nutrition. This approach aims to improve animal health, productivity, and overall farm sustainability. This option is typically constrained by labor, knowledge, and cost. ",Knowledge,4,0.33,Low
ARG,New breed,"Selectively bred varieties of animals within the livestock industry. These breeds are often created with specific goals in mind, such as improved productivity, adaptability to certain environments, disease resistance, or the enhancement of desirable traits for agricultural purposes. Accessibility, cost, and knowledge often preclude widespread adoption of new breeds for livestock farmers with limited financial resources.",Knowledge,4,0.3,Low
ARG,Weather index-based insurance,"Risk management tool that uses specific weather-related indices as triggers to compensate livestock producers for losses incurred due to adverse weather conditions. Unlike traditional insurance, which requires individual assessment of losses, index-based insurance simplifies the claims process by linking payouts to predefined weather parameters. Automated payouts reduce transaction cost and enhance transparency. Index-based insurance is mainly constrained by cost and knowledge especially related to financial literacy and record keeping.",Knowledge,4,0.8,Low
ARG,Manure management,"Systematic handling, treatment, and utilization of animal manure in agricultural and livestock operations. It involves implementing practices to effectively manage and capitalize on the nutrient-rich organic material produced by animals. Whereas labor is the main constraint for manure management, cost and knowledge can also be important bottlenecks. In some cases (e.g., Eastern Africa), manure disposal is a complex problem as animals produce more manure than can be recycled in the surrounding agricultural areas.",Knowledge,4,0.3,Low
ARG,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Knowledge,4,0.25,Low
ARG,Weather information,"Data, forecasts, and actionable advisory based on short-term weather patterns and longer-term seasonal climate outlooks. This information is crucial for livestock farmers to anticipate and manage feed and water during drought and heat stress events, disease management and access to veterinary advice, water resource management for grazing areas, market planning, and emergency preparedness. Access and knowledge to use weather information are the most critical bottlenecks for scaling.",Knowledge,4,0.8,Low
ARG,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Knowledge,4,0.2,Low
ARG,Manure management,"Systematic handling, treatment, and utilization of animal manure in agricultural and livestock operations. It involves implementing practices to effectively manage and capitalize on the nutrient-rich organic material produced by animals. Whereas labor is the main constraint for manure management, cost and knowledge can also be important bottlenecks. In some cases (e.g., Eastern Africa), manure disposal is a complex problem as animals produce more manure than can be recycled in the surrounding agricultural areas.",Labour,4,0.5,Low
ARG,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Labour,4,0.2,Low
ARG,Improve forages & feeding,"Implementation of advanced practices to enhance the quality and efficiency of the forages provided to animals and optimize their nutrition. This approach aims to improve animal health, productivity, and overall farm sustainability. This option is typically constrained by labor, knowledge, and cost. ",Labour,4,0.33,Low
ARG,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Labour,4,0.4,Low
ARG,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Labour,4,0.2,Low
ARG,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Land tenure,2,0.25,Medium
ARG,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Land tenure,2,0.3,Medium
BRA,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Accessibility,4,0.2,Low
BRA,New breed,"Selectively bred varieties of animals within the livestock industry. These breeds are often created with specific goals in mind, such as improved productivity, adaptability to certain environments, disease resistance, or the enhancement of desirable traits for agricultural purposes. Accessibility, cost, and knowledge often preclude widespread adoption of new breeds for livestock farmers with limited financial resources.",Accessibility,4,0.2,Low
BRA,Weather information,"Data, forecasts, and actionable advisory based on short-term weather patterns and longer-term seasonal climate outlooks. This information is crucial for livestock farmers to anticipate and manage feed and water during drought and heat stress events, disease management and access to veterinary advice, water resource management for grazing areas, market planning, and emergency preparedness. Access and knowledge to use weather information are the most critical bottlenecks for scaling.",Accessibility,4,0.2,Low
BRA,New breed,"Selectively bred varieties of animals within the livestock industry. These breeds are often created with specific goals in mind, such as improved productivity, adaptability to certain environments, disease resistance, or the enhancement of desirable traits for agricultural purposes. Accessibility, cost, and knowledge often preclude widespread adoption of new breeds for livestock farmers with limited financial resources.",Cost,3,0.5,Low
BRA,Rangeland restoration,"Rehabilitate and improve the ecological health and productivity of natural rangeland ecosystems. Strategies for rangeland restoration include vegetation management, grazing management, water management, soil conservation, invasive species control, wildlife habitat restoration, and community engagement. Bottlenecks for scaling rangeland restoration include cost and knowledge.",Cost,3,0.5,Low
BRA,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Cost,3,0.4,Low
BRA,Manure management,"Systematic handling, treatment, and utilization of animal manure in agricultural and livestock operations. It involves implementing practices to effectively manage and capitalize on the nutrient-rich organic material produced by animals. Whereas labor is the main constraint for manure management, cost and knowledge can also be important bottlenecks. In some cases (e.g., Eastern Africa), manure disposal is a complex problem as animals produce more manure than can be recycled in the surrounding agricultural areas.",Cost,3,0.2,Low
BRA,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Cost,3,0.1,Low
BRA,Weather index-based insurance,"Risk management tool that uses specific weather-related indices as triggers to compensate livestock producers for losses incurred due to adverse weather conditions. Unlike traditional insurance, which requires individual assessment of losses, index-based insurance simplifies the claims process by linking payouts to predefined weather parameters. Automated payouts reduce transaction cost and enhance transparency. Index-based insurance is mainly constrained by cost and knowledge especially related to financial literacy and record keeping.",Cost,3,0.2,Low
BRA,Improve forages & feeding,"Implementation of advanced practices to enhance the quality and efficiency of the forages provided to animals and optimize their nutrition. This approach aims to improve animal health, productivity, and overall farm sustainability. This option is typically constrained by labor, knowledge, and cost. ",Cost,3,0.33,Low
BRA,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Cost,3,0.3,Low
BRA,New breed,"Selectively bred varieties of animals within the livestock industry. These breeds are often created with specific goals in mind, such as improved productivity, adaptability to certain environments, disease resistance, or the enhancement of desirable traits for agricultural purposes. Accessibility, cost, and knowledge often preclude widespread adoption of new breeds for livestock farmers with limited financial resources.",Knowledge,4,0.3,Low
BRA,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Knowledge,4,0.2,Low
BRA,Weather information,"Data, forecasts, and actionable advisory based on short-term weather patterns and longer-term seasonal climate outlooks. This information is crucial for livestock farmers to anticipate and manage feed and water during drought and heat stress events, disease management and access to veterinary advice, water resource management for grazing areas, market planning, and emergency preparedness. Access and knowledge to use weather information are the most critical bottlenecks for scaling.",Knowledge,4,0.8,Low
BRA,Weather index-based insurance,"Risk management tool that uses specific weather-related indices as triggers to compensate livestock producers for losses incurred due to adverse weather conditions. Unlike traditional insurance, which requires individual assessment of losses, index-based insurance simplifies the claims process by linking payouts to predefined weather parameters. Automated payouts reduce transaction cost and enhance transparency. Index-based insurance is mainly constrained by cost and knowledge especially related to financial literacy and record keeping.",Knowledge,4,0.8,Low
BRA,Manure management,"Systematic handling, treatment, and utilization of animal manure in agricultural and livestock operations. It involves implementing practices to effectively manage and capitalize on the nutrient-rich organic material produced by animals. Whereas labor is the main constraint for manure management, cost and knowledge can also be important bottlenecks. In some cases (e.g., Eastern Africa), manure disposal is a complex problem as animals produce more manure than can be recycled in the surrounding agricultural areas.",Knowledge,4,0.3,Low
BRA,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Knowledge,4,0.2,Low
BRA,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Knowledge,4,0.25,Low
BRA,Improve forages & feeding,"Implementation of advanced practices to enhance the quality and efficiency of the forages provided to animals and optimize their nutrition. This approach aims to improve animal health, productivity, and overall farm sustainability. This option is typically constrained by labor, knowledge, and cost. ",Knowledge,4,0.33,Low
BRA,Manure management,"Systematic handling, treatment, and utilization of animal manure in agricultural and livestock operations. It involves implementing practices to effectively manage and capitalize on the nutrient-rich organic material produced by animals. Whereas labor is the main constraint for manure management, cost and knowledge can also be important bottlenecks. In some cases (e.g., Eastern Africa), manure disposal is a complex problem as animals produce more manure than can be recycled in the surrounding agricultural areas.",Labour,3,0.5,Low
BRA,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Labour,3,0.2,Low
BRA,Improve forages & feeding,"Implementation of advanced practices to enhance the quality and efficiency of the forages provided to animals and optimize their nutrition. This approach aims to improve animal health, productivity, and overall farm sustainability. This option is typically constrained by labor, knowledge, and cost. ",Labour,3,0.33,Low
BRA,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Labour,3,0.4,Low
BRA,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Labour,3,0.2,Low
BRA,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Land tenure,3,0.25,Low
BRA,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Land tenure,3,0.3,Low
CHN,New breed,"Selectively bred varieties of animals within the livestock industry. These breeds are often created with specific goals in mind, such as improved productivity, adaptability to certain environments, disease resistance, or the enhancement of desirable traits for agricultural purposes. Accessibility, cost, and knowledge often preclude widespread adoption of new breeds for livestock farmers with limited financial resources.",Accessibility,4,0.2,Low
CHN,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Accessibility,4,0.2,Low
CHN,Weather information,"Data, forecasts, and actionable advisory based on short-term weather patterns and longer-term seasonal climate outlooks. This information is crucial for livestock farmers to anticipate and manage feed and water during drought and heat stress events, disease management and access to veterinary advice, water resource management for grazing areas, market planning, and emergency preparedness. Access and knowledge to use weather information are the most critical bottlenecks for scaling.",Accessibility,4,0.2,Low
CHN,Manure management,"Systematic handling, treatment, and utilization of animal manure in agricultural and livestock operations. It involves implementing practices to effectively manage and capitalize on the nutrient-rich organic material produced by animals. Whereas labor is the main constraint for manure management, cost and knowledge can also be important bottlenecks. In some cases (e.g., Eastern Africa), manure disposal is a complex problem as animals produce more manure than can be recycled in the surrounding agricultural areas.",Cost,3,0.2,Low
CHN,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Cost,3,0.4,Low
CHN,Improve forages & feeding,"Implementation of advanced practices to enhance the quality and efficiency of the forages provided to animals and optimize their nutrition. This approach aims to improve animal health, productivity, and overall farm sustainability. This option is typically constrained by labor, knowledge, and cost. ",Cost,3,0.33,Low
CHN,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Cost,3,0.1,Low
CHN,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Cost,3,0.3,Low
CHN,New breed,"Selectively bred varieties of animals within the livestock industry. These breeds are often created with specific goals in mind, such as improved productivity, adaptability to certain environments, disease resistance, or the enhancement of desirable traits for agricultural purposes. Accessibility, cost, and knowledge often preclude widespread adoption of new breeds for livestock farmers with limited financial resources.",Cost,3,0.5,Low
CHN,Weather index-based insurance,"Risk management tool that uses specific weather-related indices as triggers to compensate livestock producers for losses incurred due to adverse weather conditions. Unlike traditional insurance, which requires individual assessment of losses, index-based insurance simplifies the claims process by linking payouts to predefined weather parameters. Automated payouts reduce transaction cost and enhance transparency. Index-based insurance is mainly constrained by cost and knowledge especially related to financial literacy and record keeping.",Cost,3,0.2,Low
CHN,Rangeland restoration,"Rehabilitate and improve the ecological health and productivity of natural rangeland ecosystems. Strategies for rangeland restoration include vegetation management, grazing management, water management, soil conservation, invasive species control, wildlife habitat restoration, and community engagement. Bottlenecks for scaling rangeland restoration include cost and knowledge.",Cost,3,0.5,Low
CHN,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Knowledge,3,0.2,Low
CHN,Improve forages & feeding,"Implementation of advanced practices to enhance the quality and efficiency of the forages provided to animals and optimize their nutrition. This approach aims to improve animal health, productivity, and overall farm sustainability. This option is typically constrained by labor, knowledge, and cost. ",Knowledge,3,0.33,Low
CHN,New breed,"Selectively bred varieties of animals within the livestock industry. These breeds are often created with specific goals in mind, such as improved productivity, adaptability to certain environments, disease resistance, or the enhancement of desirable traits for agricultural purposes. Accessibility, cost, and knowledge often preclude widespread adoption of new breeds for livestock farmers with limited financial resources.",Knowledge,3,0.3,Low
CHN,Weather index-based insurance,"Risk management tool that uses specific weather-related indices as triggers to compensate livestock producers for losses incurred due to adverse weather conditions. Unlike traditional insurance, which requires individual assessment of losses, index-based insurance simplifies the claims process by linking payouts to predefined weather parameters. Automated payouts reduce transaction cost and enhance transparency. Index-based insurance is mainly constrained by cost and knowledge especially related to financial literacy and record keeping.",Knowledge,3,0.8,Low
CHN,Manure management,"Systematic handling, treatment, and utilization of animal manure in agricultural and livestock operations. It involves implementing practices to effectively manage and capitalize on the nutrient-rich organic material produced by animals. Whereas labor is the main constraint for manure management, cost and knowledge can also be important bottlenecks. In some cases (e.g., Eastern Africa), manure disposal is a complex problem as animals produce more manure than can be recycled in the surrounding agricultural areas.",Knowledge,3,0.3,Low
CHN,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Knowledge,3,0.25,Low
CHN,Weather information,"Data, forecasts, and actionable advisory based on short-term weather patterns and longer-term seasonal climate outlooks. This information is crucial for livestock farmers to anticipate and manage feed and water during drought and heat stress events, disease management and access to veterinary advice, water resource management for grazing areas, market planning, and emergency preparedness. Access and knowledge to use weather information are the most critical bottlenecks for scaling.",Knowledge,3,0.8,Low
CHN,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Knowledge,3,0.2,Low
CHN,Manure management,"Systematic handling, treatment, and utilization of animal manure in agricultural and livestock operations. It involves implementing practices to effectively manage and capitalize on the nutrient-rich organic material produced by animals. Whereas labor is the main constraint for manure management, cost and knowledge can also be important bottlenecks. In some cases (e.g., Eastern Africa), manure disposal is a complex problem as animals produce more manure than can be recycled in the surrounding agricultural areas.",Labour,1,0.5,Medium
CHN,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Labour,1,0.2,Medium
CHN,Improve forages & feeding,"Implementation of advanced practices to enhance the quality and efficiency of the forages provided to animals and optimize their nutrition. This approach aims to improve animal health, productivity, and overall farm sustainability. This option is typically constrained by labor, knowledge, and cost. ",Labour,1,0.33,Medium
CHN,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Labour,1,0.4,Medium
CHN,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Labour,1,0.2,Medium
CHN,Improved grazing,"Management of pasture and grazing lands to optimize the utilization of forages and promote sustainable and efficient livestock production. This approach involves various techniques and principles aimed at maximizing the benefits of grazing for both the livestock and the land. Improved grazing includes rotational grazing, grazing planning, rest periods, species selection, water management, fencing and infrastructure, and monitoring of animal movements in the farm. Land tenure, labor, and knowledge can be important constraints to scaling of improved grazing, as is cost.",Land tenure,2,0.25,Medium
CHN,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Land tenure,2,0.3,Medium
COL,New breed,"Selectively bred varieties of animals within the livestock industry. These breeds are often created with specific goals in mind, such as improved productivity, adaptability to certain environments, disease resistance, or the enhancement of desirable traits for agricultural purposes. Accessibility, cost, and knowledge often preclude widespread adoption of new breeds for livestock farmers with limited financial resources.",Accessibility,3,0.2,Low
COL,Diverse species,"Raising multiple animal species within the same farming system. This strategy aims to achieve a variety of benefits, such as risk mitigation, economic stability, resource optimization, and lower environmental impact. Instead of focusing exclusively on one species, farmers diversify by incorporating different types of livestock. Species diversification is typically constrained by labor, and knowledge.",Accessibility,3,0.2,Low
COL,Weather information,"Data, forecasts, and actionable advisory based on short-term weather patterns and longer-term seasonal climate outlooks. This information is crucial for livestock farmers to anticipate and manage feed and water during drought and heat stress events, disease management and access to veterinary advice, water resource management for grazing areas, market planning, and emergency preparedness. Access and knowledge to use weather information are the most critical bottlenecks for scaling.",Accessibility,3,0.2,Low
COL,Manure management,"Systematic handling, treatment, and utilization of animal manure in agricultural and livestock operations. It involves implementing practices to effectively manage and capitalize on the nutrient-rich organic material produced by animals. Whereas labor is the main constraint for manure management, cost and knowledge can also be important bottlenecks. In some cases (e.g., Eastern Africa), manure disposal is a complex problem as animals produce more manure than can be recycled in the surrounding agricultural areas.",Cost,3,0.2,Low
COL,Improve forages & feeding,"Implementation of advanced practices to enhance the quality and efficiency of the forages provided to animals and optimize their nutrition. This approach aims to improve animal health, productivity, and overall farm sustainability. This option is typically constrained by labor, knowledge, and cost. ",Cost,3,0.33,Low
COL,Silvopastoral system,"Integrate trees, forages, and livestock in a mutually beneficial manner within a single land management unit. These systems are designed to optimize the ecological, economic, and social functions of both forestry and livestock components. Silvopastoral systems could increase productivity, decrease GHG emissions, improve carbon storage potential and aid adaptation to heat stress. The scalability of silvopastoral systems has been limited by several factors including knowledge, cost, and land tenure. ",Cost,3,0.3,Low
